feature,mean_importance,std
tree_canopy_coverage_pct,0.03160000000000003,0.01101998185116474
avg_summer_temp_f,0.027200000000000023,0.014510685717773657
median_household_income_k,0.017800000000000017,0.01074988372030136
poverty_rate_pct,0.017000000000000015,0.011601724009818551
heat_hazard_index,0.015200000000000014,0.005741080037762934
heat_x_vulnerability,0.007800000000000007,0.013280060240827235
prev_heart_disease_pct,0.007600000000000007,0.005276362383309172
extreme_heat_days_annual,0.007200000000000007,0.0069397406291589955
ac_access_pct,0.006200000000000006,0.007345747068882789
cooling_centers_per_10k,0.006200000000000006,0.005249761899362679
infrastructure_gap,0.006000000000000005,0.008294576541331096
urban_type_encoded,0.005400000000000005,0.0073783466982786945
avg_humidity_pct,0.005400000000000005,0.00506359556046887
region_encoded,0.0050000000000000044,0.005310367218940707
social_vulnerability_index,0.004800000000000004,0.00474973683481517
pct_65_plus,0.004800000000000004,0.006209669878504015
prev_obesity_pct,0.003400000000000003,0.006200000000000006
urban_heat_island_intensity,0.0008000000000000007,0.009431860898041284
prev_diabetes_pct,0.00020000000000000017,0.0031559467676119026
canopy_deficit,0.00020000000000000017,0.003155946767611903
prev_copd_pct,0.0,0.0070427267446636094
impervious_surface_pct,-0.00040000000000000034,0.0046303347611160945
uninsured_rate_pct,-0.0010000000000000009,0.0034928498393145993
pct_outdoor_workers,-0.002200000000000002,0.005173006862551029
